City,Hour,Weekday,Junction,Temperature,TrafficFlow
Kalaburagi,0,0,1,20.75,30
Kalaburagi,1,0,1,21.67,10
Kalaburagi,2,0,1,22.45,23
Kalaburagi,3,0,1,22.85,13
Kalaburagi,4,0,1,21.92,13
Kalaburagi,5,0,1,36.41,28
Kalaburagi,6,0,1,34.68,79
Kalaburagi,7,0,1,36.93,62
Kalaburagi,8,0,1,30.24,68
Kalaburagi,9,0,1,36.71,67
Kalaburagi,10,0,1,29.27,91
Kalaburagi,11,0,1,29.95,85
Kalaburagi,12,0,1,30.81,56
Kalaburagi,13,0,1,34.1,73
Kalaburagi,14,0,1,31.76,43
Kalaburagi,15,0,1,31.21,90
Kalaburagi,16,0,1,35.7,70
Kalaburagi,17,0,1,40.88,80
Kalaburagi,18,0,1,31.38,111
Kalaburagi,19,0,1,42.58,83
Kalaburagi,20,0,1,36.29,78
Kalaburagi,21,0,1,40.57,73
Kalaburagi,22,0,1,37.38,59
Kalaburagi,23,0,1,33.23,79
Kalaburagi,0,1,1,20.71,31
Kalaburagi,1,1,1,34.77,10
Kalaburagi,2,1,1,22.11,18
Kalaburagi,3,1,1,27.31,20
Kalaburagi,4,1,1,29.99,28
Kalaburagi,5,1,1,29.41,19
Kalaburagi,6,1,1,23.02,49
Kalaburagi,7,1,1,36.64,90
Kalaburagi,8,1,1,37.63,92
Kalaburagi,9,1,1,27.98,94
Kalaburagi,10,1,1,34.74,63
Kalaburagi,11,1,1,28.79,64
Kalaburagi,12,1,1,38.85,91
Kalaburagi,13,1,1,31.66,83
Kalaburagi,14,1,1,31.17,85
Kalaburagi,15,1,1,36.78,67
Kalaburagi,16,1,1,30.43,62
Kalaburagi,17,1,1,29.06,83
Kalaburagi,18,1,1,30.82,67
Kalaburagi,19,1,1,36.89,112
Kalaburagi,20,1,1,39.51,87
Kalaburagi,21,1,1,31.92,86
Kalaburagi,22,1,1,31.4,56
Kalaburagi,23,1,1,39.09,78
Kalaburagi,0,2,1,31.99,14
Kalaburagi,1,2,1,34.25,17
Kalaburagi,2,2,1,31.27,17
Kalaburagi,3,2,1,27.97,13
Kalaburagi,4,2,1,33.56,14
Kalaburagi,5,2,1,35.64,12
Kalaburagi,6,2,1,22.67,81
Kalaburagi,7,2,1,32.62,79
Kalaburagi,8,2,1,33.55,112
Kalaburagi,9,2,1,31.78,86
Kalaburagi,10,2,1,24.66,106
Kalaburagi,11,2,1,30.86,45
Kalaburagi,12,2,1,35.72,69
Kalaburagi,13,2,1,35.52,82
Kalaburagi,14,2,1,34.98,73
Kalaburagi,15,2,1,31.85,85
Kalaburagi,16,2,1,27.17,53
Kalaburagi,17,2,1,27.35,106
Kalaburagi,18,2,1,38.81,90
Kalaburagi,19,2,1,41.78,95
Kalaburagi,20,2,1,42.2,91
Kalaburagi,21,2,1,42.01,67
Kalaburagi,22,2,1,34.8,67
Kalaburagi,23,2,1,43.77,46
Kalaburagi,0,3,1,28.26,13
Kalaburagi,1,3,1,21.84,22
Kalaburagi,2,3,1,31.93,22
Kalaburagi,3,3,1,24.21,10
Kalaburagi,4,3,1,23.26,31
Kalaburagi,5,3,1,35.16,16
Kalaburagi,6,3,1,29.82,51
Kalaburagi,7,3,1,27.98,78
Kalaburagi,8,3,1,23.45,72
Kalaburagi,9,3,1,26.28,79
Kalaburagi,10,3,1,27.42,107
Kalaburagi,11,3,1,28.66,63
Kalaburagi,12,3,1,29.96,56
Kalaburagi,13,3,1,36.72,61
Kalaburagi,14,3,1,34.31,87
Kalaburagi,15,3,1,30.03,52
Kalaburagi,16,3,1,30.06,85
Kalaburagi,17,3,1,34.66,103
Kalaburagi,18,3,1,37.41,68
Kalaburagi,19,3,1,35.04,89
Kalaburagi,20,3,1,34.27,107
Kalaburagi,21,3,1,30.61,90
Kalaburagi,22,3,1,33.24,47
Kalaburagi,23,3,1,35.02,63
Kalaburagi,0,4,1,31.05,28
Kalaburagi,1,4,1,30.92,15
Kalaburagi,2,4,1,32.31,12
Kalaburagi,3,4,1,30.77,11
Kalaburagi,4,4,1,36.21,31
Kalaburagi,5,4,1,35.84,23
Kalaburagi,6,4,1,26.28,68
Kalaburagi,7,4,1,32.31,94
Kalaburagi,8,4,1,38.08,112
Kalaburagi,9,4,1,32.24,80
Kalaburagi,10,4,1,32.94,85
Kalaburagi,11,4,1,37.83,81
Kalaburagi,12,4,1,26.94,90
Kalaburagi,13,4,1,31.35,75
Kalaburagi,14,4,1,30.21,82
Kalaburagi,15,4,1,36.81,63
Kalaburagi,16,4,1,36.9,55
Kalaburagi,17,4,1,41.16,99
Kalaburagi,18,4,1,41.73,111
Kalaburagi,19,4,1,28.35,111
Kalaburagi,20,4,1,33.65,81
Kalaburagi,21,4,1,38.39,49
Kalaburagi,22,4,1,30.08,68
Kalaburagi,23,4,1,32.94,57
Kalaburagi,0,5,1,27.29,27
Kalaburagi,1,5,1,27.32,24
Kalaburagi,2,5,1,31.89,10
Kalaburagi,3,5,1,23.88,25
Kalaburagi,4,5,1,23.56,15
Kalaburagi,5,5,1,29.87,10
Kalaburagi,6,5,1,27.0,59
Kalaburagi,7,5,1,37.5,59
Kalaburagi,8,5,1,24.14,58
Kalaburagi,9,5,1,32.26,88
Kalaburagi,10,5,1,31.65,73
Kalaburagi,11,5,1,31.51,70
Kalaburagi,12,5,1,36.97,52
Kalaburagi,13,5,1,33.77,67
Kalaburagi,14,5,1,37.87,41
Kalaburagi,15,5,1,37.57,46
Kalaburagi,16,5,1,39.03,52
Kalaburagi,17,5,1,27.51,88
Kalaburagi,18,5,1,35.24,91
Kalaburagi,19,5,1,33.5,72
Kalaburagi,20,5,1,40.01,86
Kalaburagi,21,5,1,42.12,52
Kalaburagi,22,5,1,32.11,47
Kalaburagi,23,5,1,30.99,38
Kalaburagi,0,6,1,30.93,23
Kalaburagi,1,6,1,22.35,13
Kalaburagi,2,6,1,34.32,19
Kalaburagi,3,6,1,32.86,23
Kalaburagi,4,6,1,25.11,18
Kalaburagi,5,6,1,32.01,17
Kalaburagi,6,6,1,27.0,70
Kalaburagi,7,6,1,32.64,86
Kalaburagi,8,6,1,32.98,92
Kalaburagi,9,6,1,27.85,95
Kalaburagi,10,6,1,31.07,88
Kalaburagi,11,6,1,26.65,74
Kalaburagi,12,6,1,28.86,57
Kalaburagi,13,6,1,37.86,44
Kalaburagi,14,6,1,35.23,36
Kalaburagi,15,6,1,26.81,62
Kalaburagi,16,6,1,38.08,69
Kalaburagi,17,6,1,36.42,88
Kalaburagi,18,6,1,40.73,78
Kalaburagi,19,6,1,40.35,91
Kalaburagi,20,6,1,40.78,94
Kalaburagi,21,6,1,29.93,65
Kalaburagi,22,6,1,43.71,62
Kalaburagi,23,6,1,32.21,62
Kalaburagi,0,0,2,20.4,19
Kalaburagi,1,0,2,30.84,31
Kalaburagi,2,0,2,35.14,35
Kalaburagi,3,0,2,26.72,36
Kalaburagi,4,0,2,36.41,25
Kalaburagi,5,0,2,28.53,13
Kalaburagi,6,0,2,26.64,76
Kalaburagi,7,0,2,36.27,118
Kalaburagi,8,0,2,32.01,95
Kalaburagi,9,0,2,26.53,104
Kalaburagi,10,0,2,38.13,109
Kalaburagi,11,0,2,26.33,53
Kalaburagi,12,0,2,29.83,88
Kalaburagi,13,0,2,40.06,81
Kalaburagi,14,0,2,33.35,96
Kalaburagi,15,0,2,37.96,76
Kalaburagi,16,0,2,31.37,94
Kalaburagi,17,0,2,27.29,123
Kalaburagi,18,0,2,31.08,122
Kalaburagi,19,0,2,39.81,102
Kalaburagi,20,0,2,37.39,116
Kalaburagi,21,0,2,39.79,82
Kalaburagi,22,0,2,29.32,89
Kalaburagi,23,0,2,35.57,56
Kalaburagi,0,1,2,33.44,31
Kalaburagi,1,1,2,21.5,31
Kalaburagi,2,1,2,22.92,31
Kalaburagi,3,1,2,28.3,32
Kalaburagi,4,1,2,24.42,33
Kalaburagi,5,1,2,30.34,32
Kalaburagi,6,1,2,26.45,76
Kalaburagi,7,1,2,23.95,120
Kalaburagi,8,1,2,33.13,85
Kalaburagi,9,1,2,27.58,90
Kalaburagi,10,1,2,36.72,101
Kalaburagi,11,1,2,26.58,76
Kalaburagi,12,1,2,31.56,54
Kalaburagi,13,1,2,25.94,58
Kalaburagi,14,1,2,29.67,78
Kalaburagi,15,1,2,36.42,81
Kalaburagi,16,1,2,33.63,80
Kalaburagi,17,1,2,33.01,118
Kalaburagi,18,1,2,33.63,94
